time_s,motor,sg,threshold,window_avg,window_n,vel_mms,pos_x,pos_y,pos_z,state
56.6,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.6,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.621,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.621,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.621,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.641,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.641,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.641,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.661,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.661,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.661,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.681,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.681,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.681,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.703,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.703,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.703,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.723,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.723,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.723,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.744,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.744,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.744,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.764,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.764,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.764,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.784,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.784,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.784,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.804,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
56.804,stepper_y,,20,,0,0.0,0.0,0.0,0.0,V
56.804,stepper_y1,,20,,0,0.0,0.0,0.0,0.0,V
56.825,stepper_x,,20,,0,0.0,0.0,0.0,0.0,V
